Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Air temperature [K]_roll_mean,Air temperature [K]_roll_std,Air temperature [K]_roll_var,Process temperature [K]_roll_mean,Process temperature [K]_roll_std,Process temperature [K]_roll_var,Rotational speed [rpm]_roll_mean,Rotational speed [rpm]_roll_std,Rotational speed [rpm]_roll_var,Torque [Nm]_roll_mean,Torque [Nm]_roll_std,Torque [Nm]_roll_var,Tool wear [min]_roll_mean,Tool wear [min]_roll_std,Tool wear [min]_roll_var,temp_delta,power,tool_wear_rate,torque_per_rpm,temp_wear_interaction,type_encoded,Torque [Nm]_lag1,Torque [Nm]_lag2,Torque [Nm]_lag3,Tool wear [min]_lag1,Tool wear [min]_lag2,Tool wear [min]_lag3,Rotational speed [rpm]_lag1,Rotational speed [rpm]_lag2,Rotational speed [rpm]_lag3,power_lag1,power_lag2,power_lag3,Torque [Nm]_diff1,Torque [Nm]_pct_change,Tool wear [min]_diff1,Tool wear [min]_pct_change,Rotational speed [rpm]_diff1,Rotational speed [rpm]_pct_change,power_diff1,power_pct_change
298.6,309.2,1742,30.0,37,0,298.35,0.2173067468401398,0.047222222222244606,308.85,0.23687784005927653,0.05611111111114819,1561.2,162.15068437858804,26292.84444444448,37.04,8.798131114680618,77.40711111111123,21.3,9.569047322835575,91.56666666666669,10.599999999999966,52260.0,0.021227768215720023,0.01721170395869191,11440.4,1,51.1,44.3,23.9,34.0,29.0,24.0,1339.0,1423.0,1782.0,68422.90000000001,63038.899999999994,42589.799999999996,-21.1,-0.4129158512720157,3.0,0.08823529411764697,403.0,0.30097087378640786,-16162.900000000009,-0.23622062204320493
298.6,309.2,2035,19.6,40,0,298.39,0.22335820757008182,0.04988888888891975,308.9,0.2538591035288872,0.06444444444449027,1623.9,210.3803169922933,44259.877777777816,35.0,10.276402310363514,105.60444444444455,24.4,10.145606602531629,102.93333333333337,10.599999999999966,39886.0,0.019646365422396856,0.00962671905697446,12368.0,0,30.0,51.1,44.3,37.0,34.0,29.0,1742.0,1339.0,1423.0,52260.0,68422.90000000001,63038.899999999994,-10.399999999999999,-0.34666666666666657,3.0,0.08108108108108114,293.0,0.16819747416762332,-12374.0,-0.23677765021048602
298.6,309.2,1542,48.4,42,0,298.44,0.20655911179782582,0.04266666666670671,308.96,0.24585451886126286,0.06044444444450306,1635.6,201.14019433663134,40457.37777777782,35.65,10.94514098178325,119.7961111111112,27.5,10.330644811541159,106.72222222222227,10.599999999999966,74632.8,0.027219701879455604,0.03136746597537265,12986.4,0,19.6,30.0,51.1,40.0,37.0,34.0,2035.0,1742.0,1339.0,39886.0,52260.0,68422.90000000001,28.799999999999997,1.4693877551020407,2.0,0.050000000000000044,-493.0,-0.2422604422604423,34746.8,0.8711527854384997
298.6,309.2,1311,46.6,44,0,298.49,0.17288403306534178,0.02988888888893819,309.02,0.22010098692308874,0.04844444444451768,1610.9,225.42771691953854,50817.6555555556,36.07,11.30752453506563,127.86011111111121,30.5,10.33064481154116,106.7222222222223,10.599999999999966,61092.6,0.03353658536585366,0.03551829268292683,13604.8,1,48.4,19.6,30.0,42.0,40.0,37.0,1542.0,2035.0,1742.0,74632.8,39886.0,52260.0,-1.7999999999999972,-0.037190082644628086,2.0,0.04761904761904767,-231.0,-0.14980544747081714,-13540.200000000004,-0.18142425314339006
298.7,309.2,1410,45.6,47,0,298.55000000000007,0.11785113019799526,0.01388888888894483,309.08000000000004,0.16865480854259585,0.028444444444539665,1599.2,233.16937096358862,54367.95555555561,36.61,11.650412486736734,135.7321111111112,33.6,10.145606602531632,102.93333333333345,10.5,64296.0,0.03330970942593905,0.032317505315379164,14532.4,1,46.6,48.4,19.6,44.0,42.0,40.0,1311.0,1542.0,2035.0,61092.6,74632.8,39886.0,-1.0,-0.02145922746781115,3.0,0.06818181818181812,99.0,0.07551487414187652,3203.4000000000015,0.05243515581265168
298.8,309.2,1306,54.5,50,0,298.6,0.10540925533923995,0.011111111111173086,309.13,0.10593499054767433,0.01122222222233585,1563.1,248.9196434371722,61960.98888888894,39.2,12.51843085658547,156.7111111111112,36.8,9.715966241192904,94.40000000000015,10.399999999999977,71177.0,0.03825554705432287,0.041698546289211935,15460.0,2,45.6,46.6,48.4,47.0,44.0,42.0,1410.0,1311.0,1542.0,64296.0,61092.6,74632.8,8.899999999999999,0.19517543859649122,3.0,0.06382978723404253,-104.0,-0.07375886524822695,6881.0,0.10702065447306208
298.9,309.3,1632,32.5,55,0,298.64,0.13498971154234193,0.018222222222284683,309.16,0.10749676997789263,0.011555555555679959,1552.2,242.56948603555975,58839.955555555614,39.65,12.146444381427479,147.53611111111118,40.2,9.51957048517539,90.6222222222224,10.400000000000034,53040.0,0.03368034292712799,0.019902020820575628,17011.5,1,54.5,45.6,46.6,50.0,47.0,44.0,1306.0,1410.0,1311.0,71177.0,64296.0,61092.6,-22.0,-0.4036697247706422,5.0,0.10000000000000009,326.0,0.24961715160796327,-18137.0,-0.2548154600502971
298.9,309.3,1375,42.7,58,0,298.69,0.12866839377104017,0.016555555555619446,309.2,0.06666666666767808,0.004444444444579299,1511.5,233.71076616669222,54620.722222222284,41.53,10.82035633013586,117.08011111111117,43.6,9.15544768005489,83.82222222222245,10.400000000000034,58712.50000000001,0.04215116279069767,0.03103197674418605,17939.4,2,32.5,54.5,45.6,55.0,50.0,47.0,1632.0,1306.0,1410.0,53040.0,71177.0,64296.0,10.200000000000003,0.3138461538461539,3.0,0.05454545454545445,-257.0,-0.15747549019607843,5672.500000000007,0.10694758672699867
298.8,309.3,1450,44.8,63,0,298.71,0.12866839377105413,0.016555555555623044,309.22,0.06324555320447693,0.004000000000140323,1514.2,232.72864504014603,54162.622222222286,41.58,10.835722813402386,117.41288888888893,47.0,9.439868172337546,89.11111111111138,10.5,64959.99999999999,0.043418332184700204,0.03087525844245348,19485.9,0,42.7,32.5,54.5,58.0,55.0,50.0,1375.0,1632.0,1306.0,58712.50000000001,53040.0,71177.0,2.0999999999999943,0.04918032786885229,5.0,0.0862068965517242,75.0,0.05454545454545445,6247.499999999985,0.10640834575260771
298.9,309.3,1581,30.7,65,0,298.74,0.13498971154238304,0.01822222222229578,309.23999999999995,0.051639777950837615,0.002666666666811815,1538.4,224.93811494621278,50597.155555555626,39.540000000000006,10.764365079072505,115.87155555555562,50.1,9.780365819106967,95.65555555555588,10.400000000000034,48536.7,0.04108723135271808,0.01940581542351454,20104.5,1,44.8,42.7,32.5,63.0,58.0,55.0,1450.0,1375.0,1632.0,64959.99999999999,58712.50000000001,53040.0,-14.099999999999998,-0.3147321428571428,2.0,0.031746031746031855,131.0,0.09034482758620688,-16423.299999999996,-0.25282173645320194
